# ----------------------------------------
# All Web Site Data
# Location
# 20150408-20160122
# ----------------------------------------

City,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
(not set),"1,329",99.77%,"1,326",85.33%,1.12,00:00:26,0.00%,0,$0.00
Houston,456,35.09%,160,6.36%,11.87,00:05:35,0.00%,0,$0.00
New York,89,100.00%,89,86.52%,1.35,00:00:15,0.00%,0,$0.00
Amsterdam-Zuidoost,40,100.00%,40,100.00%,1.00,00:00:00,0.00%,0,$0.00
London,35,100.00%,35,60.00%,2.26,00:00:32,0.00%,0,$0.00
Samara,33,6.06%,2,81.82%,1.36,00:00:00,0.00%,0,$0.00
Chicago,29,100.00%,29,79.31%,1.45,00:00:05,0.00%,0,$0.00
Beijing,28,85.71%,24,64.29%,1.14,00:02:01,0.00%,0,$0.00
Seoul,27,100.00%,27,77.78%,2.26,00:00:02,0.00%,0,$0.00
Los Angeles,27,85.19%,23,62.96%,3.22,00:01:23,0.00%,0,$0.00
,"4,255",87.33%,"3,716",69.42%,2.70,00:01:01,0.00%,0,$0.00

Day Index,Sessions,Avg. Session Duration
4/8/15,7,00:00:40
4/9/15,8,00:00:19
4/10/15,4,00:02:32
4/11/15,10,00:09:32
4/12/15,1,00:00:00
4/13/15,2,00:00:58
4/14/15,2,00:01:37
4/15/15,18,00:00:05
4/16/15,5,00:00:03
4/17/15,8,00:01:20
4/18/15,5,00:00:00
4/19/15,5,00:01:16
4/20/15,4,00:00:34
4/21/15,7,00:01:33
4/22/15,1,00:00:00
4/23/15,5,00:02:27
4/24/15,18,00:01:22
4/25/15,23,00:03:33
4/26/15,18,00:01:21
4/27/15,5,00:01:31
4/28/15,5,00:00:00
4/29/15,6,00:01:18
4/30/15,21,00:00:39
5/1/15,13,00:00:00
5/2/15,5,00:01:14
5/3/15,24,00:00:50
5/4/15,30,00:00:37
5/5/15,27,00:07:43
5/6/15,9,00:01:10
5/7/15,5,00:00:08
5/8/15,26,00:00:28
5/9/15,47,00:07:09
5/10/15,2,00:00:01
5/11/15,16,00:01:03
5/12/15,48,00:01:39
5/13/15,3,00:04:40
5/14/15,5,00:00:06
5/15/15,32,00:00:53
5/16/15,6,00:00:02
5/17/15,2,00:00:00
5/18/15,4,00:00:43
5/19/15,6,00:02:29
5/20/15,4,00:00:01
5/21/15,24,00:01:10
5/22/15,10,00:05:53
5/23/15,4,00:01:56
5/24/15,20,00:00:16
5/25/15,13,00:00:23
5/26/15,42,00:00:33
5/27/15,31,00:00:25
5/28/15,3,00:00:13
5/29/15,34,00:01:51
5/30/15,13,00:00:17
5/31/15,28,00:01:22
6/1/15,13,00:00:06
6/2/15,49,00:00:40
6/3/15,4,00:00:41
6/4/15,2,00:00:00
6/5/15,20,00:00:02
6/6/15,27,00:00:03
6/7/15,2,00:00:00
6/8/15,76,00:00:05
6/9/15,5,00:04:44
6/10/15,31,00:00:08
6/11/15,24,00:00:44
6/12/15,3,00:06:43
6/13/15,7,00:04:46
6/14/15,1,00:00:00
6/15/15,100,00:00:04
6/16/15,4,00:01:10
6/17/15,17,00:00:00
6/18/15,54,00:00:02
6/19/15,21,00:01:54
6/20/15,26,00:00:04
6/21/15,1,00:00:03
6/22/15,35,<00:00:01
6/23/15,30,00:00:02
6/24/15,59,00:00:03
6/25/15,2,00:00:00
6/26/15,2,00:11:46
6/27/15,17,00:00:00
6/28/15,4,00:00:01
6/29/15,1,00:04:50
6/30/15,27,00:00:05
7/1/15,33,00:00:02
7/2/15,27,00:01:19
7/3/15,44,00:01:05
7/4/15,31,00:00:23
7/5/15,21,00:01:08
7/6/15,60,00:00:52
7/7/15,57,00:00:32
7/8/15,75,00:00:54
7/9/15,54,00:01:28
7/10/15,22,00:00:56
7/11/15,59,00:00:44
7/12/15,3,00:00:41
7/13/15,3,00:01:31
7/14/15,1,00:04:38
7/15/15,13,00:00:30
7/16/15,1,00:00:00
7/17/15,73,00:00:32
7/18/15,46,00:00:41
7/19/15,2,00:00:01
7/20/15,32,00:00:47
7/21/15,28,00:00:49
7/22/15,5,00:03:28
7/23/15,3,00:00:21
7/24/15,18,00:00:37
7/25/15,2,00:19:14
7/26/15,29,00:00:32
7/27/15,28,00:01:15
7/28/15,46,00:00:05
7/29/15,4,00:11:54
7/30/15,5,00:02:25
7/31/15,4,00:12:46
8/1/15,11,00:05:29
8/2/15,30,00:00:38
8/3/15,27,00:00:22
8/4/15,35,00:00:38
8/5/15,3,00:01:42
8/6/15,31,00:01:55
8/7/15,7,00:03:05
8/8/15,4,00:00:00
8/9/15,22,00:00:38
8/10/15,5,00:00:45
8/11/15,40,00:00:18
8/12/15,59,00:00:29
8/13/15,25,00:01:03
8/14/15,33,00:01:06
8/15/15,3,00:00:02
8/16/15,2,00:00:00
8/17/15,3,00:00:30
8/18/15,5,00:02:18
8/19/15,6,00:00:13
8/20/15,4,00:01:03
8/21/15,10,00:27:42
8/22/15,5,<00:00:01
8/23/15,1,00:00:19
8/24/15,9,00:01:05
8/25/15,8,00:00:00
8/26/15,4,00:31:49
8/27/15,9,00:00:24
8/28/15,4,00:00:00
8/29/15,2,00:00:14
8/30/15,2,00:00:00
8/31/15,10,<00:00:01
9/1/15,12,00:01:07
9/2/15,12,00:04:12
9/3/15,5,00:05:28
9/4/15,7,00:03:12
9/5/15,7,00:02:41
9/6/15,9,<00:00:01
9/7/15,2,00:00:23
9/8/15,12,00:00:00
9/9/15,16,00:01:09
9/10/15,7,00:00:24
9/11/15,5,00:00:00
9/12/15,5,00:01:26
9/13/15,4,00:00:05
9/14/15,8,00:00:14
9/15/15,9,00:01:36
9/16/15,4,00:00:26
9/17/15,9,00:01:08
9/18/15,1,00:00:00
9/19/15,0,00:00:00
9/20/15,5,00:00:00
9/21/15,3,00:00:24
9/22/15,8,00:01:34
9/23/15,7,00:02:03
9/24/15,9,00:00:01
9/25/15,0,00:00:00
9/26/15,4,00:04:19
9/27/15,7,00:36:17
9/28/15,5,00:00:16
9/29/15,1,00:00:00
9/30/15,8,00:02:38
10/1/15,1,00:00:00
10/2/15,3,00:00:27
10/3/15,4,00:00:00
10/4/15,7,00:00:00
10/5/15,7,00:00:00
10/6/15,1,00:01:13
10/7/15,11,00:00:06
10/8/15,7,00:03:51
10/9/15,4,00:00:00
10/10/15,2,00:00:25
10/11/15,4,00:00:00
10/12/15,6,00:01:21
10/13/15,3,00:00:00
10/14/15,6,00:00:00
10/15/15,2,00:01:06
