City,Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
(not set),(not set),928,100.00%,928,91.16%,1.05,00:00:20,0.00%,0,$0.00
Houston,United States,640,32.03%,205,5.16%,14.05,00:07:25,0.00%,0,$0.00
(not set),United States,350,99.71%,349,76.86%,1.23,00:00:41,0.00%,0,$0.00
Samara,Russia,99,3.03%,3,91.92%,1.15,00:00:00,0.00%,0,$0.00
New York,United States,97,100.00%,97,84.54%,1.37,00:00:14,0.00%,0,$0.00
London,United Kingdom,43,100.00%,43,51.16%,2.37,00:00:28,0.00%,0,$0.00
Izhevsk,Russia,41,2.44%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Amsterdam-Zuidoost,Netherlands,40,100.00%,40,100.00%,1.00,00:00:00,0.00%,0,$0.00
Chicago,United States,33,96.97%,32,69.70%,1.94,00:00:10,0.00%,0,$0.00
Beijing,China,31,87.10%,27,67.74%,1.13,00:01:50,0.00%,0,$0.00
Nashville,United States,29,31.03%,9,10.34%,5.07,00:05:17,0.00%,0,$0.00
Seoul,South Korea,28,100.00%,28,75.00%,2.25,00:00:02,0.00%,0,$0.00
Los Angeles,United States,28,85.71%,24,60.71%,3.18,00:01:20,0.00%,0,$0.00
League City,United States,27,48.15%,13,3.70%,7.00,00:01:24,0.00%,0,$0.00
Denver,United States,25,80.00%,20,60.00%,2.64,00:00:41,0.00%,0,$0.00
Myrtle Beach,United States,25,8.00%,2,0.00%,4.04,00:00:46,0.00%,0,$0.00
Moscow,Russia,24,45.83%,11,87.50%,1.33,00:00:05,0.00%,0,$0.00
Lynchburg,United States,23,100.00%,23,95.65%,1.04,00:00:03,0.00%,0,$0.00
Sao Paulo,Brazil,19,89.47%,17,36.84%,2.05,00:00:01,0.00%,0,$0.00
Boston,United States,19,94.74%,18,73.68%,1.89,00:02:11,0.00%,0,$0.00
Alexandria,United States,19,100.00%,19,78.95%,0.89,00:00:05,0.00%,0,$0.00
Reykjavik,Iceland,17,41.18%,7,11.76%,5.00,00:08:18,0.00%,0,$0.00
Chantilly,United States,17,100.00%,17,0.00%,2.24,00:00:01,0.00%,0,$0.00
San Diego,United States,16,100.00%,16,75.00%,1.62,00:00:16,0.00%,0,$0.00
San Francisco,United States,16,87.50%,14,56.25%,2.69,00:01:10,0.00%,0,$0.00
Overland Park,United States,16,100.00%,16,100.00%,1.00,00:00:00,0.00%,0,$0.00
Ashburn,United States,16,100.00%,16,43.75%,1.56,00:00:05,0.00%,0,$0.00
(not set),Taiwan,15,100.00%,15,86.67%,1.00,00:00:40,0.00%,0,$0.00
Sydney,Australia,14,100.00%,14,42.86%,2.50,00:00:49,0.00%,0,$0.00
Toronto,Canada,14,100.00%,14,50.00%,2.71,00:00:04,0.00%,0,$0.00
Hong Kong,Hong Kong,14,100.00%,14,71.43%,1.86,00:00:36,0.00%,0,$0.00
Dublin,Ireland,14,100.00%,14,64.29%,1.43,<00:00:01,0.00%,0,$0.00
Atlanta,United States,14,35.71%,5,50.00%,6.43,00:04:13,0.00%,0,$0.00
Arlington,United States,14,100.00%,14,92.86%,0.93,00:00:00,0.00%,0,$0.00
Chuo,Japan,14,100.00%,14,92.86%,0.93,00:00:00,0.00%,0,$0.00
Cairo,Egypt,13,100.00%,13,84.62%,0.85,00:00:00,0.00%,0,$0.00
Rio de Janeiro,Brazil,12,100.00%,12,41.67%,3.25,00:00:14,0.00%,0,$0.00
Shenzhen,China,12,100.00%,12,91.67%,1.08,00:00:25,0.00%,0,$0.00
Stuttgart,Germany,12,100.00%,12,75.00%,1.25,00:00:28,0.00%,0,$0.00
Paris,France,12,100.00%,12,83.33%,1.50,00:00:56,0.00%,0,$0.00
Rome,Italy,12,100.00%,12,66.67%,1.50,00:00:02,0.00%,0,$0.00
Austin,United States,12,83.33%,10,33.33%,2.50,00:00:36,0.00%,0,$0.00
Washington,United States,11,100.00%,11,90.91%,1.09,00:00:00,0.00%,0,$0.00
Springfield,United States,11,18.18%,2,9.09%,3.91,00:01:08,0.00%,0,$0.00
Portland,United States,11,63.64%,7,27.27%,5.27,<00:00:01,0.00%,0,$0.00
Dallas,United States,11,100.00%,11,63.64%,1.45,00:01:25,0.00%,0,$0.00
Saint-Valery-en-Caux,France,11,18.18%,2,0.00%,14.09,00:03:04,0.00%,0,$0.00
Brisbane,Australia,10,100.00%,10,70.00%,1.50,00:00:05,0.00%,0,$0.00
Shinjuku,Japan,10,100.00%,10,100.00%,1.00,00:00:00,0.00%,0,$0.00
Sandton,South Africa,10,100.00%,10,100.00%,1.00,00:00:00,0.00%,0,$0.00
Meridian charter Township,United States,10,100.00%,10,80.00%,1.20,00:00:36,0.00%,0,$0.00
Guangzhou,China,9,100.00%,9,88.89%,1.11,00:00:33,0.00%,0,$0.00
Magdeburg,Germany,9,100.00%,9,100.00%,1.00,00:00:00,0.00%,0,$0.00
Madrid,Spain,9,100.00%,9,77.78%,1.67,00:00:07,0.00%,0,$0.00
New Delhi,India,9,100.00%,9,77.78%,1.67,00:00:15,0.00%,0,$0.00
Amsterdam,Netherlands,9,77.78%,7,88.89%,1.11,<00:00:01,0.00%,0,$0.00
Oslo,Norway,9,100.00%,9,66.67%,1.67,00:00:06,0.00%,0,$0.00
Saint Petersburg,Russia,9,11.11%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Greensboro,United States,9,100.00%,9,0.00%,12.33,<00:00:01,0.00%,0,$0.00
Henderson,United States,9,33.33%,3,11.11%,4.56,00:04:47,0.00%,0,$0.00
(not set),Tajikistan,8,87.50%,7,0.00%,2.88,00:00:19,0.00%,0,$0.00
Laval,Canada,8,25.00%,2,25.00%,2.12,00:00:14,0.00%,0,$0.00
Shanghai,China,8,100.00%,8,87.50%,0.88,00:00:00,0.00%,0,$0.00
Chongqing,China,8,100.00%,8,62.50%,1.38,00:01:06,0.00%,0,$0.00
Bogota,Colombia,8,100.00%,8,100.00%,1.00,00:00:00,0.00%,0,$0.00
Mumbai,India,8,100.00%,8,75.00%,1.25,<00:00:01,0.00%,0,$0.00
Kyiv,Ukraine,8,62.50%,5,87.50%,1.12,00:00:34,0.00%,0,$0.00
Cambridge,United States,8,100.00%,8,75.00%,1.00,00:00:11,0.00%,0,$0.00
